P(a | i.) 0.04067660088602497
P(will | you) 0.03242486265215986
P(find | will) 0.02111645410830023
P(me | find) 0.037644427879239654
P(at | me) 0.02414535022710973
P(langham | the) 0.0026521019877635693
P(under | langham) 0.042383550146873686
P(the | under) 0.033858531679517266
P(kramm.” | von) 0.037644427879239654
P(shall | i) 0.015773201278624954
P(drop | shall) 0.03503295178633368
P(you | drop) 0.042383550146873686
P(a | you) 0.01088010341484434
P(line | a) 0.004813420387933088
P(to | line) 0.042383550146873686
P(let | to) 0.009533747569131527
P(you | let) 0.07781649245063878
P(know | you) 0.01088010341484434
P(we | how) 0.028997990238300318
P(progress.” | we) 0.02414535022710973
P(do | “pray) 0.04067660088602497
P(so. | do) 0.02203796639755619
P(i | so.) 0.04067660088602497
P(be | shall) 0.06971904266389177
P(all | be) 0.014673834083975011
P(anxiety.” | all) 0.02473671320107764
P(as | “then,) 0.03629177146963708
P(money?” | to) 0.004790589574538728
P(_carte | have) 0.014890166592952971
P(blanche_.” | _carte) 0.042383550146873686
P(tell | “i) 0.018420572679190225
P(you | tell) 0.03629177146963708
P(give | would) 0.028188668713368687
P(one | give) 0.037644427879239654
P(provinces | the) 0.0026521019877635693
P(of | provinces) 0.042383550146873686
P(kingdom | my) 0.01265188525616936
P(to | kingdom) 0.042383550146873686
P(that | have) 0.014890166592952971
P(photograph.” | that) 0.010324031483185118
P(for | “and) 0.030764544623819678
P(present | for) 0.018090632276553824
P(expenses?” | present) 0.04067660088602497
P(took | king) 0.03629177146963708
P(a | took) 0.06971904266389177
P(chamois | heavy) 0.037644427879239654
P(leather | chamois) 0.042383550146873686
P(bag | leather) 0.04067660088602497
P(from | bag) 0.042383550146873686
P(under | from) 0.034166241713411524
P(his | under) 0.0673818303721086
P(cloak | his) 0.008499537153917361
P(and | cloak) 0.04067660088602497
P(laid | and) 0.009227379148877564
P(are | “there) 0.03910181958962446
P(three | are) 0.023043577458361855
P(hundred | three) 0.03276029841063899
P(pounds | hundred) 0.03910181958962446
P(in | pounds) 0.04067660088602497
P(gold | in) 0.006786266209769535
P(and | gold) 0.04067660088602497
P(seven | and) 0.004636643253913602
P(hundred | seven) 0.03910181958962446
P(in | hundred) 0.03910181958962446
P(notes,” | in) 0.006786266209769535
P(he | notes,”) 0.042383550146873686
P(scribbled | holmes) 0.02414535022710973
P(a | scribbled) 0.042383550146873686
P(receipt | a) 0.004813420387933088
P(upon | receipt) 0.042383550146873686
P(note-book | his) 0.008499537153917361
P(and | note-book) 0.042383550146873686
P(handed | and) 0.004636643253913602
P(it | handed) 0.042383550146873686
P(him. | to) 0.004790589574538728
P(mademoiselle’s | “and) 0.030764544623819678
P(address?” | mademoiselle’s) 0.042383550146873686
P(he | address?”) 0.04067660088602497
P(asked. | he) 0.009918491603653148
P(briony | “is) 0.04067660088602497
P(lodge, | briony) 0.1259817781966698
P(serpentine | lodge,) 0.037644427879239654
P(avenue, | serpentine) 0.04067660088602497
P(st. | avenue,) 0.042383550146873686
P(john’s | st.) 0.037644427879239654
P(wood.” | john’s) 0.042383550146873686
P(took | holmes) 0.02414535022710973
P(note | a) 0.004813420387933088
P(of | note) 0.03629177146963708
P(it. | of) 0.004375514447862063
P(“one | it.) 0.0317310713163682
P(other | “one) 0.042383550146873686
P(question,” | other) 0.0317310713163682
P(said | question,”) 0.042383550146873686
P(“was | he.) 0.033858531679517266
P(the | “was) 0.04067660088602497
P(a | photograph) 0.03910181958962446
P(cabinet?” | a) 0.004813420387933088
P(was.” | “it) 0.030764544623819678
P(good-night, | “then,) 0.03629177146963708
P(your | good-night,) 0.04067660088602497
P(majesty, | your) 0.02203796639755619
P(and | majesty,) 0.04067660088602497
P(trust | i) 0.005292668867578473
P(that | trust) 0.03910181958962446
P(we | that) 0.010324031483185118
P(shall | we) 0.02414535022710973
P(soon | shall) 0.03503295178633368
P(have | soon) 0.04067660088602497
P(good | some) 0.028997990238300318
P(news | good) 0.03276029841063899
P(for | news) 0.042383550146873686
P(you. | for) 0.018090632276553824
P(and | you.) 0.04067660088602497
P(good-night, | and) 0.004636643253913602
P(watson,” | good-night,) 0.04067660088602497
P(he | watson,”) 0.042383550146873686
P(added, | he) 0.009918491603653148
P(as | added,) 0.042383550146873686
P(of | wheels) 0.04067660088602497
P(brougham | royal) 0.04067660088602497
P(rolled | brougham) 0.04067660088602497
P(down | rolled) 0.042383550146873686
P(street. | the) 0.01052963264448704
P(“if | street.) 0.03629177146963708
P(you | “if) 0.04067660088602497
P(call | to) 0.004790589574538728
P(to-morrow | call) 0.03910181958962446
P(afternoon | to-morrow) 0.042383550146873686
P(at | afternoon) 0.042383550146873686
P(three | at) 0.02759851709460387
P(o’clock | three) 0.06519623743107363
P(i | o’clock) 0.037644427879239654
P(like | should) 0.028997990238300318
P(chat | to) 0.004790589574538728
P(this | chat) 0.042383550146873686
P(little | this) 0.02473671320107764
P(matter | little) 0.028188668713368687
P(over | matter) 0.0317310713163682
P(with | over) 0.033858531679517266
P(you.” | with) 0.01265188525616936
P(precisely | o’clock) 0.037644427879239654
P(i | precisely) 0.042383550146873686
P(baker | at) 0.013867911574900454
P(but | street,) 0.03503295178633368
P(had | holmes) 0.04805163758068372
P(returned. | yet) 0.03503295178633368
P(the | returned.) 0.042383550146873686
P(landlady | the) 0.0026521019877635693
P(informed | landlady) 0.04067660088602497
P(me | informed) 0.042383550146873686
P(left | had) 0.014673834083975011
P(the | left) 0.07222421846927775
P(house | the) 0.01052963264448704
P(after | shortly) 0.042383550146873686
P(eight | after) 0.07781649245063878
P(o’clock | eight) 0.07781649245063878
P(in | o’clock) 0.037644427879239654
P(morning. | the) 0.0026521019877635693
P(i | morning.) 0.042383550146873686
P(sat | i) 0.005292668867578473
P(down | sat) 0.04067660088602497
P(beside | down) 0.02473671320107764
P(the | beside) 0.042383550146873686
P(fire, | the) 0.0026521019877635693
P(with | however,) 0.03910181958962446
P(intention | the) 0.0026521019877635693
P(of | intention) 0.042383550146873686
P(awaiting | of) 0.004375514447862063
P(him, | awaiting) 0.042383550146873686
P(however | him,) 0.04067660088602497
P(long | however) 0.042383550146873686
P(he | long) 0.03910181958962446
P(might | he) 0.009918491603653148
P(be. | might) 0.033858531679517266
P(already | was) 0.01677376283067679
P(deeply | already) 0.03629177146963708
P(interested | deeply) 0.04067660088602497
P(inquiry, | his) 0.008499537153917361
P(for, | inquiry,) 0.042383550146873686
P(though | for,) 0.042383550146873686
P(it | though) 0.04067660088602497
P(by | surrounded) 0.042383550146873686
P(none | by) 0.02203796639755619
P(of | none) 0.042383550146873686
P(grim | the) 0.0026521019877635693
P(and | grim) 0.042383550146873686
P(strange | and) 0.004636643253913602
P(features | strange) 0.03910181958962446
P(which | features) 0.042383550146873686
P(with | associated) 0.04067660088602497
P(two | the) 0.007903789092245884
P(crimes | two) 0.029855158143659476
P(which | crimes) 0.042383550146873686
P(already | have) 0.04437564499484004
P(recorded, | already) 0.03629177146963708
P(still, | recorded,) 0.042383550146873686
P(nature | the) 0.005277945540004726
P(of | nature) 0.07781649245063878
P(exalted | the) 0.0026521019877635693
P(station | exalted) 0.042383550146873686
P(of | station) 0.04067660088602497
P(client | his) 0.008499537153917361
P(gave | client) 0.04067660088602497
P(it | gave) 0.03910181958962446
P(a | it) 0.018135883785978524
P(of | character) 0.1165311653116531
P(its | of) 0.008707706970497768
P(own. | its) 0.03629177146963708
P(indeed, | own.) 0.04067660088602497
P(apart | indeed,) 0.04067660088602497
P(from | apart) 0.042383550146873686
P(which | investigation) 0.042383550146873686
P(my | which) 0.01534254898982227
P(had | friend) 0.03910181958962446
P(on | had) 0.014673834083975011
P(hand, | on) 0.02203796639755619
P(there | hand,) 0.04067660088602497
P(something | was) 0.00842860719352416
P(in | something) 0.042383550146873686
P(grasp | masterly) 0.042383550146873686
P(of | grasp) 0.042383550146873686
P(situation, | a) 0.004813420387933088
P(and | situation,) 0.042383550146873686
P(keen, | his) 0.008499537153917361
P(incisive | keen,) 0.042383550146873686
P(reasoning, | incisive) 0.04067660088602497
P(which | reasoning,) 0.042383550146873686
P(it | made) 0.03629177146963708
P(pleasure | a) 0.004813420387933088
P(to | pleasure) 0.042383550146873686
P(study | to) 0.004790589574538728
P(his | study) 0.03910181958962446
P(system | his) 0.008499537153917361
P(work, | of) 0.004375514447862063
P(and | work,) 0.042383550146873686
P(the | follow) 0.037644427879239654
P(subtle | quick,) 0.042383550146873686
P(methods | subtle) 0.042383550146873686
P(by | methods) 0.042383550146873686
P(disentangled | he) 0.009918491603653148
P(the | disentangled) 0.042383550146873686
P(inextricable | most) 0.030764544623819678
P(so | mysteries.) 0.042383550146873686
P(accustomed | so) 0.030764544623819678
P(was | accustomed) 0.03910181958962446
P(i | was) 0.01677376283067679
P(to | i) 0.005292668867578473
P(invariable | his) 0.008499537153917361
P(success | invariable) 0.042383550146873686
P(that | success) 0.042383550146873686
P(of | possibility) 0.042383550146873686
P(failing | his) 0.008499537153917361
P(had | failing) 0.042383550146873686
P(ceased | had) 0.014673834083975011
P(to | ceased) 0.042383550146873686
P(enter | to) 0.004790589574538728
P(into | enter) 0.042383550146873686
P(head. | my) 0.01265188525616936
P(close | was) 0.00842860719352416
P(upon | close) 0.04067660088602497
P(four | upon) 0.02252955610082534
P(before | four) 0.04067660088602497
P(door | the) 0.013155476196728199
P(opened, | door) 0.03503295178633368
P(and | opened,) 0.042383550146873686
P(drunken-looking | a) 0.004813420387933088
P(ill-kempt | groom,) 0.042383550146873686
P(and | ill-kempt) 0.042383550146873686
P(side-whiskered, | and) 0.004636643253913602
P(with | side-whiskered,) 0.042383550146873686
P(an | with) 0.01265188525616936
P(inflamed | an) 0.023581601681064674
P(face | inflamed) 0.042383550146873686
P(clothes, | disreputable) 0.042383550146873686
P(walked | clothes,) 0.042383550146873686
P(into | walked) 0.03910181958962446
P(room. | the) 0.0026521019877635693
P(accustomed | room.) 0.042383550146873686
P(as | accustomed) 0.03910181958962446
P(amazing | friend’s) 0.04067660088602497
P(powers | amazing) 0.042383550146873686
P(in | powers) 0.04067660088602497
P(use | the) 0.0026521019877635693
P(of | use) 0.04067660088602497
P(disguises, | of) 0.004375514447862063
P(i | disguises,) 0.042383550146873686
P(to | had) 0.02920238268197007
P(three | look) 0.037644427879239654
P(before | times) 0.04067660088602497
P(certain | was) 0.00842860719352416
P(that | certain) 0.042383550146873686
P(indeed | was) 0.00842860719352416
P(he. | indeed) 0.03910181958962446
P(with | he.) 0.033858531679517266
P(nod | a) 0.004813420387933088
P(he | nod) 0.042383550146873686
P(into | vanished) 0.042383550146873686
P(bedroom, | the) 0.0026521019877635693
P(whence | bedroom,) 0.042383550146873686
P(he | whence) 0.042383550146873686
P(emerged | he) 0.009918491603653148
P(in | emerged) 0.042383550146873686
P(five | in) 0.006786266209769535
P(minutes | five) 0.06971904266389177
P(and | tweed-suited) 0.042383550146873686
P(respectable, | and) 0.004636643253913602
P(as | respectable,) 0.042383550146873686
P(of | as) 0.013867911574900454
P(old. | of) 0.004375514447862063
P(putting | old.) 0.042383550146873686
P(his | putting) 0.04067660088602497
P(into | hands) 0.037644427879239654
P(he | pockets,) 0.042383550146873686
P(stretched | he) 0.009918491603653148
P(out | stretched) 0.042383550146873686
P(his | out) 0.025357770524730105
P(legs | his) 0.008499537153917361
P(in | legs) 0.042383550146873686
P(front | in) 0.04038164348585634
P(of | front) 0.17377731529656607
P(and | fire) 0.04067660088602497
P(laughed | and) 0.009227379148877564
P(for | heartily) 0.04067660088602497
P(some | for) 0.03600214938205266
P(minutes. | some) 0.028997990238300318
P(really!” | “well,) 0.03910181958962446
P(he | really!”) 0.042383550146873686
P(cried, | he) 0.009918491603653148
P(and | cried,) 0.04067660088602497
P(then | and) 0.009227379148877564
P(choked | he) 0.009918491603653148
P(and | choked) 0.042383550146873686
P(again | laughed) 0.04067660088602497
P(until | again) 0.042383550146873686
P(he | until) 0.03910181958962446
P(obliged | was) 0.00842860719352416
P(to | obliged) 0.042383550146873686
P(lie | to) 0.004790589574538728
P(back, | lie) 0.04067660088602497
P(limp | back,) 0.04067660088602497
P(and | limp) 0.042383550146873686
P(helpless, | and) 0.004636643253913602
P(in | helpless,) 0.042383550146873686
P(chair. | the) 0.0026521019877635693
P(is | “what) 0.037644427879239654
P(it?” | is) 0.01163192445007486
P(quite | “it’s) 0.042383550146873686
P(too | quite) 0.07222421846927775
P(funny. | too) 0.03503295178633368
P(i | funny.) 0.042383550146873686
P(sure | am) 0.026010816379088336
P(you | sure) 0.03910181958962446
P(could | you) 0.01088010341484434
P(never | could) 0.023581601681064674
P(guess | never) 0.037644427879239654
P(how | guess) 0.042383550146873686
P(i | how) 0.028997990238300318
P(employed | i) 0.005292668867578473
P(morning, | my) 0.01265188525616936
P(or | morning,) 0.042383550146873686
P(what | or) 0.023581601681064674
P(i | what) 0.05046447401456188
P(ended | i) 0.005292668867578473
P(by | ended) 0.042383550146873686
P(doing.” | by) 0.02203796639755619
P(can’t | “i) 0.018420572679190225
P(imagine. | can’t) 0.03910181958962446
P(i | imagine.) 0.042383550146873686
P(suppose | i) 0.005292668867578473
P(that | suppose) 0.042383550146873686
P(watching | been) 0.02252955610082534
P(the | watching) 0.042383550146873686
P(habits, | the) 0.0026521019877635693
P(and | habits,) 0.042383550146873686
P(the | perhaps) 0.042383550146873686
P(house, | the) 0.0026521019877635693
P(of | house,) 0.04067660088602497
P(miss | of) 0.004375514447862063
P(irene | miss) 0.037644427879239654
P(adler.” | irene) 0.03276029841063899
P(so; | “quite) 0.03910181958962446
P(but | so;) 0.042383550146873686
P(sequel | the) 0.0026521019877635693
P(was | sequel) 0.042383550146873686
P(rather | was) 0.00842860719352416
P(unusual. | rather) 0.03910181958962446
P(i | unusual.) 0.042383550146873686
P(will | i) 0.026253733689671432
P(tell | will) 0.02111645410830023
P(you, | tell) 0.03629177146963708
P(however. | you,) 0.037644427879239654
P(left | i) 0.005292668867578473
P(a | house) 0.03629177146963708
P(after | little) 0.028188668713368687
P(this | o’clock) 0.037644427879239654
P(morning | this) 0.02473671320107764
P(in | morning) 0.042383550146873686
P(groom | a) 0.004813420387933088
P(out | groom) 0.042383550146873686
P(work. | of) 0.004375514447862063
P(there | work.) 0.042383550146873686
P(is | there) 0.10931704123936287
P(wonderful | a) 0.004813420387933088
P(sympathy | wonderful) 0.042383550146873686
P(and | sympathy) 0.042383550146873686
P(among | freemasonry) 0.042383550146873686
P(horsey | among) 0.04067660088602497
P(men. | horsey) 0.042383550146873686
P(be | men.) 0.04067660088602497
P(one | be) 0.014673834083975011
P(them, | of) 0.004375514447862063
P(and | them,) 0.08095046314941601
P(you | and) 0.004636643253913602
P(know | will) 0.02111645410830023
P(all | know) 0.028997990238300318
P(to | is) 0.03466543821259933
P(know. | to) 0.004790589574538728
P(i | know.) 0.042383550146873686
P(soon | i) 0.005292668867578473
P(found | soon) 0.04067660088602497
P(briony | found) 0.03503295178633368
P(lodge. | briony) 0.06314797360980207
P(it | lodge.) 0.04067660088602497
P(_bijou_ | a) 0.004813420387933088
P(with | villa,) 0.042383550146873686
P(garden | a) 0.004813420387933088
P(at | garden) 0.042383550146873686
P(back, | the) 0.0026521019877635693
P(but | back,) 0.04067660088602497
P(built | but) 0.018090632276553824
P(out | built) 0.042383550146873686
P(right | front) 0.03503295178633368
P(up | right) 0.037644427879239654
P(road, | the) 0.0026521019877635693
P(two | road,) 0.042383550146873686
P(stories. | two) 0.029855158143659476
P(chubb | stories.) 0.042383550146873686
P(lock | chubb) 0.042383550146873686
P(to | lock) 0.042383550146873686
P(large | door.) 0.04067660088602497
P(sitting-room | large) 0.037644427879239654
P(on | sitting-room) 0.04067660088602497
P(side, | right) 0.037644427879239654
P(well | side,) 0.042383550146873686
P(furnished, | well) 0.037644427879239654
P(with | furnished,) 0.042383550146873686
P(long | with) 0.01265188525616936
P(windows | long) 0.03910181958962446
P(almost | windows) 0.04067660088602497
P(to | almost) 0.03910181958962446
P(floor, | the) 0.0026521019877635693
P(those | and) 0.004636643253913602
P(preposterous | those) 0.037644427879239654
P(english | preposterous) 0.04067660088602497
P(window | english) 0.04067660088602497
P(fasteners | window) 0.03910181958962446
P(which | fasteners) 0.042383550146873686
P(a | which) 0.01534254898982227
P(child | a) 0.004813420387933088
P(could | child) 0.042383550146873686
P(behind | open.) 0.04067660088602497
P(there | behind) 0.03910181958962446
P(nothing | was) 0.00842860719352416
P(remarkable, | nothing) 0.03629177146963708
P(save | remarkable,) 0.042383550146873686
P(that | save) 0.03910181958962446
P(passage | the) 0.0026521019877635693
P(window | passage) 0.042383550146873686
P(be | could) 0.023581601681064674
P(reached | be) 0.014673834083975011
P(from | reached) 0.04067660088602497
P(top | the) 0.005277945540004726
P(of | top) 0.04067660088602497
P(coach-house. | the) 0.0026521019877635693
P(i | coach-house.) 0.042383550146873686
P(walked | i) 0.005292668867578473
P(round | walked) 0.03910181958962446
P(it | round) 0.037644427879239654
P(and | it) 0.009113056031760354
P(it | examined) 0.04067660088602497
P(closely | it) 0.009113056031760354
P(from | closely) 0.042383550146873686
P(every | from) 0.01716811150773415
P(point | every) 0.03503295178633368
P(of | point) 0.04067660088602497
P(view, | of) 0.004375514447862063
P(but | view,) 0.042383550146873686
P(without | but) 0.018090632276553824
P(noting | without) 0.033858531679517266
P(else | anything) 0.04067660088602497
P(of | else) 0.042383550146873686
P(interest. | of) 0.004375514447862063
P(then | “i) 0.018420572679190225
P(lounged | then) 0.0317310713163682
P(down | lounged) 0.04067660088602497
P(street | the) 0.005277945540004726
P(and | street) 0.03910181958962446
P(found, | and) 0.004636643253913602
P(as | found,) 0.042383550146873686
P(expected, | i) 0.005292668867578473
P(that | expected,) 0.042383550146873686
P(mews | a) 0.004813420387933088
P(in | mews) 0.042383550146873686
P(lane | a) 0.004813420387933088
P(which | lane) 0.04067660088602497
P(runs | which) 0.01534254898982227
P(down | runs) 0.042383550146873686
P(by | down) 0.02473671320107764
P(one | by) 0.02203796639755619
P(wall | one) 0.02203796639755619
P(of | wall) 0.042383550146873686
P(garden. | the) 0.0026521019877635693
P(i | garden.) 0.042383550146873686
P(lent | i) 0.005292668867578473
P(ostlers | the) 0.0026521019877635693
P(a | ostlers) 0.042383550146873686
P(hand | a) 0.004813420387933088
P(in | hand) 0.03629177146963708
P(rubbing | in) 0.006786266209769535
P(down | rubbing) 0.042383550146873686
P(their | down) 0.02473671320107764
P(horses, | their) 0.0317310713163682
P(and | horses,) 0.042383550146873686
P(received | and) 0.004636643253913602
P(in | received) 0.042383550146873686
P(twopence, | exchange) 0.042383550146873686
P(a | twopence,) 0.042383550146873686
P(glass | a) 0.009579183148262877
P(of | glass) 0.08095046314941601
P(half-and-half, | of) 0.004375514447862063
P(two | half-and-half,) 0.042383550146873686
P(fills | two) 0.029855158143659476
P(of | fills) 0.042383550146873686
P(shag | of) 0.004375514447862063
P(tobacco, | shag) 0.042383550146873686
P(as | and) 0.004636643253913602
P(much | as) 0.013867911574900454
P(information | much) 0.03629177146963708
P(as | information) 0.042383550146873686
P(desire | could) 0.023581601681064674
P(about | desire) 0.04067660088602497
P(miss | about) 0.03276029841063899
P(adler, | miss) 0.037644427879239654
P(to | adler,) 0.037644427879239654
P(of | nothing) 0.03629177146963708
P(half | of) 0.004375514447862063
P(dozen | a) 0.009579183148262877
P(other | dozen) 0.04067660088602497
P(people | other) 0.0317310713163682
P(in | people) 0.042383550146873686
P(neighbourhood | the) 0.0026521019877635693
P(in | neighbourhood) 0.042383550146873686
P(whom | in) 0.006786266209769535
P(in | not) 0.015823280589064705
P(least | the) 0.0026521019877635693
P(interested, | least) 0.042383550146873686
P(but | interested,) 0.042383550146873686
P(whose | but) 0.018090632276553824
P(biographies | whose) 0.042383550146873686
P(i | biographies) 0.042383550146873686
P(compelled | was) 0.00842860719352416
P(to | compelled) 0.042383550146873686
P(to.” | listen) 0.042383550146873686
P(what | “and) 0.09168443496801705
P(of | what) 0.025357770524730105
P(irene | of) 0.008707706970497768
P(i | adler?”) 0.04067660088602497
P(asked. | i) 0.010532935073101712
P(she | “oh,) 0.037644427879239654
P(turned | has) 0.02473671320107764
P(all | turned) 0.03910181958962446
P(men’s | the) 0.0026521019877635693
P(heads | men’s) 0.04067660088602497
P(down | heads) 0.042383550146873686
P(part. | that) 0.010324031483185118
P(she | part.) 0.04067660088602497
P(thing | daintiest) 0.042383550146873686
P(under | thing) 0.04067660088602497
P(a | under) 0.033858531679517266
P(bonnet | a) 0.004813420387933088
P(on | bonnet) 0.042383550146873686
P(this | on) 0.02203796639755619
P(planet. | this) 0.02473671320107764
P(so | planet.) 0.042383550146873686
P(say | so) 0.030764544623819678
P(the | say) 0.03629177146963708
P(to | serpentine-mews,) 0.04067660088602497
P(man. | a) 0.004813420387933088
P(she | man.) 0.03629177146963708
P(lives | she) 0.015579207157180319
P(quietly, | lives) 0.042383550146873686
P(sings | quietly,) 0.042383550146873686
P(at | sings) 0.042383550146873686
P(concerts, | at) 0.013867911574900454
P(drives | concerts,) 0.042383550146873686
P(at | out) 0.07557117750439367
P(five | at) 0.02759851709460387
P(every | five) 0.03503295178633368
P(day, | every) 0.03503295178633368
P(and | day,) 0.08095046314941601
P(returns | and) 0.004636643253913602
P(at | returns) 0.04067660088602497
P(seven | at) 0.013867911574900454
P(sharp | seven) 0.03910181958962446
P(for | sharp) 0.03910181958962446
P(dinner. | for) 0.018090632276553824
P(seldom | dinner.) 0.042383550146873686
P(out | goes) 0.042383550146873686
P(other | at) 0.013867911574900454
P(times, | other) 0.0317310713163682
P(except | times,) 0.042383550146873686
P(when | except) 0.042383550146873686
P(sings. | she) 0.015579207157180319
P(has | sings.) 0.042383550146873686
P(only | has) 0.02473671320107764
P(one | only) 0.0673818303721086
P(male | one) 0.02203796639755619
P(but | visitor,) 0.04067660088602497
P(a | but) 0.018090632276553824
P(good | a) 0.009579183148262877
P(deal | good) 0.03276029841063899
P(of | deal) 0.042383550146873686
P(him. | of) 0.004375514447862063
P(he | him.) 0.033858531679517266
P(is | he) 0.01973878032014141
P(dark, | is) 0.01163192445007486
P(handsome, | dark,) 0.04067660088602497
P(and | handsome,) 0.042383550146873686
P(dashing, | and) 0.004636643253913602
P(calls | never) 0.037644427879239654
P(less | calls) 0.042383550146873686
P(once | than) 0.03276029841063899
P(a | once) 0.033858531679517266
P(day, | a) 0.004813420387933088
P(often | and) 0.004636643253913602
P(twice. | often) 0.042383550146873686
P(he | twice.) 0.042383550146873686
P(mr. | a) 0.004813420387933088
P(godfrey | mr.) 0.07781649245063878
P(of | norton,) 0.03910181958962446
P(inner | the) 0.0026521019877635693
P(temple. | inner) 0.042383550146873686
P(see | temple.) 0.04067660088602497
P(the | see) 0.03276029841063899
P(advantages | the) 0.0026521019877635693
P(of | advantages) 0.042383550146873686
P(cabman | a) 0.004813420387933088
P(as | cabman) 0.04067660088602497
P(they | confidant.) 0.042383550146873686
P(had | they) 0.05770887166236003
P(driven | had) 0.014673834083975011
P(him | driven) 0.042383550146873686
P(home | him) 0.030764544623819678
P(a | home) 0.04067660088602497
P(times | dozen) 0.04067660088602497
P(from | times) 0.04067660088602497
P(serpentine-mews, | from) 0.01716811150773415
P(knew | and) 0.004636643253913602
P(all | knew) 0.03629177146963708
P(about | all) 0.02473671320107764
P(him. | about) 0.03276029841063899
P(when | him.) 0.033858531679517266
P(i | when) 0.10327066701004378
P(listened | had) 0.014673834083975011
P(to | listened) 0.042383550146873686
P(all | to) 0.004790589574538728
P(they | all) 0.02473671320107764
P(tell, | to) 0.004790589574538728
P(i | tell,) 0.042383550146873686
P(to | began) 0.042383550146873686
P(walk | to) 0.004790589574538728
P(up | walk) 0.03910181958962446
P(near | down) 0.02473671320107764
P(briony | near) 0.04067660088602497
P(lodge | briony) 0.09456487590323592
P(once | lodge) 0.03910181958962446
P(more, | once) 0.033858531679517266
P(and | more,) 0.04067660088602497
P(think | to) 0.014276905563724325
P(my | over) 0.033858531679517266
P(plan | my) 0.01265188525616936
P(of | plan) 0.042383550146873686
P(campaign. | of) 0.004375514447862063
P(godfrey | “this) 0.033858531679517266
P(norton | godfrey) 0.07222421846927775
P(was | norton) 0.04067660088602497
P(evidently | was) 0.00842860719352416
P(an | evidently) 0.042383550146873686
P(important | an) 0.023581601681064674
P(factor | important) 0.042383550146873686
P(in | factor) 0.04067660088602497
P(matter. | the) 0.0026521019877635693
P(lawyer. | a) 0.004813420387933088
P(that | lawyer.) 0.04067660088602497
P(sounded | that) 0.010324031483185118
P(ominous. | sounded) 0.042383550146873686
P(what | ominous.) 0.042383550146873686
P(was | what) 0.05046447401456188
P(relation | the) 0.0026521019877635693
P(between | relation) 0.042383550146873686
P(the | what) 0.025357770524730105
P(object | the) 0.0026521019877635693
P(of | object) 0.042383550146873686
P(repeated | his) 0.008499537153917361
P(visits? | repeated) 0.042383550146873686
P(was | visits?) 0.042383550146873686
P(she | was) 0.00842860719352416
P(his | she) 0.015579207157180319
P(client, | his) 0.008499537153917361
P(friend, | his) 0.008499537153917361
P(or | friend,) 0.04067660088602497
P(mistress? | his) 0.008499537153917361
P(if | mistress?) 0.042383550146873686
P(the | if) 0.07751738346639196
P(former, | the) 0.0026521019877635693
P(she | former,) 0.042383550146873686
P(had | she) 0.031004164738546967
P(probably | had) 0.014673834083975011
P(the | transferred) 0.042383550146873686
P(photograph | the) 0.005277945540004726
P(to | photograph) 0.03910181958962446
P(keeping. | his) 0.008499537153917361
P(if | keeping.) 0.042383550146873686
P(latter, | the) 0.0026521019877635693
P(it | latter,) 0.042383550146873686
P(less | was) 0.00842860719352416
P(on | likely.) 0.042383550146873686
P(issue | the) 0.0026521019877635693
P(of | issue) 0.042383550146873686
P(this | of) 0.004375514447862063
P(question | this) 0.02473671320107764
P(depended | question) 0.04067660088602497
P(whether | depended) 0.042383550146873686
P(i | whether) 0.10815666546891842
P(my | continue) 0.042383550146873686
P(work | my) 0.01265188525616936
P(at | work) 0.03910181958962446
P(briony | at) 0.02759851709460387
P(or | lodge,) 0.037644427879239654
P(turn | or) 0.023581601681064674
P(my | turn) 0.04067660088602497
P(attention | my) 0.01265188525616936
P(to | attention) 0.042383550146873686
P(chambers | gentleman’s) 0.042383550146873686
P(in | chambers) 0.042383550146873686
P(temple. | the) 0.0026521019877635693
P(it | temple.) 0.04067660088602497
P(delicate | a) 0.004813420387933088
P(point, | delicate) 0.03910181958962446
P(and | point,) 0.042383550146873686
P(it | and) 0.013818115043841527
P(the | widened) 0.042383550146873686
P(field | the) 0.0026521019877635693
P(of | field) 0.042383550146873686
P(inquiry. | my) 0.01265188525616936
P(i | inquiry.) 0.042383550146873686
P(fear | i) 0.005292668867578473
P(that | fear) 0.042383550146873686
P(bore | i) 0.005292668867578473
P(you | bore) 0.042383550146873686
P(with | you) 0.01088010341484434
P(these | with) 0.01265188525616936
P(but | details,) 0.042383550146873686
P(i | but) 0.08973670069854917
P(to | have) 0.029632905793896505
P(see | you) 0.01088010341484434
P(my | see) 0.03276029841063899
P(little | my) 0.01265188525616936
P(difficulties, | little) 0.028188668713368687
P(if | difficulties,) 0.042383550146873686
P(you | if) 0.07751738346639196
P(understand | to) 0.004790589574538728
P(the | understand) 0.03910181958962446
P(situation.” | the) 0.0026521019877635693
P(following | am) 0.026010816379088336
P(you | following) 0.04067660088602497
P(closely,” | you) 0.01088010341484434
P(i | closely,”) 0.042383550146873686
P(balancing | still) 0.033858531679517266
P(the | balancing) 0.04067660088602497
P(in | matter) 0.0317310713163682
P(when | mind) 0.03629177146963708
P(a | when) 0.05176409992274015
P(hansom | a) 0.004813420387933088
P(cab | hansom) 0.042383550146873686
P(drove | cab) 0.03910181958962446
P(up | drove) 0.037644427879239654
P(briony | to) 0.004790589574538728
P(and | lodge,) 0.037644427879239654
P(sprang | gentleman) 0.03503295178633368
