P(. | i) 0.008098223615464995
P(the | know) 0.005795574288724974
P(strict | the) 0.0020265291083271927
P(principles | strict) 0.006257110352673493
P(of | principles) 0.006257110352673493
P(family | her) 0.005293551491819057
P(. | family) 0.006221719457013575
P(she | .) 0.008021390374331552
P(the | herself) 0.006257110352673493
P(soul | very) 0.010948905109489052
P(of | soul) 0.01167964404894327
P(delicacy | of) 0.0028735632183908046
P(. | delicacy) 0.006221719457013575
P(shadow | a) 0.0030153508771929827
P(of | shadow) 0.006257110352673493
P(as | doubt) 0.006117908787541713
P(my | to) 0.0083829096809086
P(conduct | my) 0.00462573591253154
P(bring | would) 0.005795574288724974
P(the | bring) 0.006186726659167604
P(to | matter) 0.005952380952380953
P(end | an) 0.005646817248459959
P(. | end) 0.006117908787541713
P(irene | and) 0.00286607608129234
P(? | adler) 0.011425462459194777
P(to | threatens) 0.006257110352673493
P(send | to) 0.0029745808545159546
P(them | send) 0.006221719457013575
P(the | them) 0.00605060506050605
P(she | and) 0.0054715997915581035
P(do | will) 0.010406342913776016
P(know | not) 0.014039855072463768
P(her | know) 0.005795574288724974
P(, | her) 0.014918190567853705
P(she | but) 0.023415977961432504
P(a | has) 0.00570539419087137
P(soul | a) 0.005756578947368421
P(steel | of) 0.0028735632183908046
P(. | steel) 0.006257110352673493
P(the | has) 0.00570539419087137
P(of | face) 0.006017505470459519
P(beautiful | most) 0.005952380952380953
P(of | beautiful) 0.006221719457013575
P(women | of) 0.0028735632183908046
P(, | women) 0.006221719457013575
P(mind | the) 0.0020265291083271927
P(of | mind) 0.006084070796460177
P(of | resolute) 0.006257110352673493
P(men | of) 0.0028735632183908046
P(. | men) 0.011425462459194777
P(rather | .) 0.001730103806228374
P(than | rather) 0.006117908787541713
P(i | than) 0.011487964989059081
P(marry | should) 0.005888650963597431
P(another | marry) 0.006221719457013575
P(woman | another) 0.006152125279642058
P(, | woman) 0.01155115511551155
P(there | ,) 0.0047342700061087355
P(no | are) 0.005533199195171026
P(to | lengths) 0.006257110352673493
P(which | to) 0.0029745808545159546
P(she | which) 0.009597806215722121
P(would | she) 0.0186533212010919
P(go | not) 0.004981884057971015
P(none | go) 0.006152125279642058
P(sure | are) 0.005533199195171026
P(that | sure) 0.01174496644295302
P(she | that) 0.019782777346780446
P(not | has) 0.00570539419087137
P(sent | not) 0.004981884057971015
P(it | sent) 0.006221719457013575
P(yet | it) 0.0037187288708586883
P(? | yet) 0.005984766050054407
P(sure | am) 0.0110062893081761
P(. | sure) 0.006152125279642058
P(why | and) 0.00286607608129234
P(? | why) 0.006152125279642058
P(she | because) 0.006221719457013575
P(said | has) 0.00570539419087137
P(that | said) 0.005424063116370809
P(send | would) 0.005795574288724974
P(it | send) 0.006221719457013575
P(on | it) 0.010480054090601758
P(day | the) 0.0020265291083271927
P(when | day) 0.006186726659167604
P(the | when) 0.010892116182572614
P(was | betrothal) 0.006257110352673493
P(publicly | was) 0.003973988439306358
P(proclaimed | publicly) 0.006257110352673493
P(. | proclaimed) 0.006257110352673493
P(will | that) 0.004266873545384018
P(next | be) 0.004959422903516682
P(monday | next) 0.006257110352673493
P(. | monday) 0.006257110352673493
P(we | then) 0.005397448478900883
P(three | have) 0.005004549590536852
P(days | three) 0.006017505470459519
P(yet | days) 0.006221719457013575
P(, | yet) 0.005984766050054407
P(with | holmes) 0.005293551491819057
P(yawn | a) 0.0030153508771929827
P(. | yawn) 0.006257110352673493
P(fortunate | very) 0.005735140771637122
P(, | fortunate) 0.006257110352673493
P(one | have) 0.005004549590536852
P(matters | two) 0.005920344456404736
P(of | matters) 0.006186726659167604
P(importance | of) 0.0028735632183908046
P(to | importance) 0.006152125279642058
P(look | to) 0.0083829096809086
P(into | look) 0.00605060506050605
P(at | just) 0.005920344456404736
P(. | present) 0.006152125279642058
P(will | majesty) 0.006017505470459519
P(, | will) 0.010406342913776016
P(stay | ,) 0.0016799022602321321
P(in | stay) 0.006221719457013575
P(for | london) 0.006186726659167604
P(? | present) 0.006152125279642058
P(. | certainly) 0.006221719457013575
P(find | will) 0.005450941526263627
P(me | find) 0.006152125279642058
P(at | me) 0.005293551491819057
P(langham | the) 0.0020265291083271927
P(under | langham) 0.006257110352673493
P(the | under) 0.00605060506050605
P(. | kramm) 0.006221719457013575
P(shall | i) 0.010710553814002089
P(drop | shall) 0.006084070796460177
P(you | drop) 0.006257110352673493
P(a | you) 0.003973988439306358
P(line | a) 0.0030153508771929827
P(to | line) 0.006257110352673493
P(let | to) 0.005678745267712277
P(you | let) 0.01174496644295302
P(we | how) 0.005765199161425576
P(progress | we) 0.0056179775280898875
P(. | progress) 0.006257110352673493
P(do | pray) 0.006186726659167604
P(so | do) 0.0055055055055055055
P(be | shall) 0.01161504424778761
P(all | be) 0.004959422903516682
P(anxiety | all) 0.0056179775280898875
P(. | anxiety) 0.006257110352673493
P(money | to) 0.0029745808545159546
P(? | money) 0.006221719457013575
P(_carte | have) 0.005004549590536852
P(blanche_ | _carte) 0.006257110352673493
P(. | blanche_) 0.006257110352673493
P(? | absolutely) 0.006186726659167604
P(tell | i) 0.0028735632183908046
P(you | tell) 0.01161504424778761
P(give | would) 0.005795574288724974
P(one | give) 0.006152125279642058
P(provinces | the) 0.0020265291083271927
P(of | provinces) 0.006257110352673493
P(kingdom | my) 0.00462573591253154
P(to | kingdom) 0.006257110352673493
P(that | have) 0.005004549590536852
P(photograph | that) 0.004266873545384018
P(present | for) 0.005218216318785579
P(expenses | present) 0.006152125279642058
P(? | expenses) 0.006257110352673493
P(took | king) 0.006084070796460177
P(a | took) 0.01161504424778761
P(chamois | heavy) 0.006152125279642058
P(leather | chamois) 0.006257110352673493
P(bag | leather) 0.006221719457013575
P(from | bag) 0.006257110352673493
P(under | from) 0.009962049335863378
P(his | under) 0.01155115511551155
P(cloak | his) 0.004047093451066961
P(and | cloak) 0.006221719457013575
P(laid | and) 0.0054715997915581035
P(three | are) 0.005533199195171026
P(hundred | three) 0.006017505470459519
P(pounds | hundred) 0.006186726659167604
P(in | pounds) 0.006221719457013575
P(gold | in) 0.0036208031599736673
P(and | gold) 0.006221719457013575
P(seven | and) 0.00286607608129234
P(hundred | seven) 0.006117908787541713
P(in | hundred) 0.006186726659167604
P(notes | in) 0.0036208031599736673
P(, | notes) 0.006257110352673493
P(scribbled | holmes) 0.005293551491819057
P(a | scribbled) 0.006257110352673493
P(receipt | a) 0.0030153508771929827
P(upon | receipt) 0.006257110352673493
P(note | his) 0.004047093451066961
P(book | note) 0.006017505470459519
P(and | book) 0.006257110352673493
P(handed | and) 0.00286607608129234
P(it | handed) 0.006257110352673493
P(mademoiselle | and) 0.00286607608129234
P(s | mademoiselle) 0.006257110352673493
P(address | s) 0.005735140771637122
P(. | asked) 0.022676991150442475
P(briony | is) 0.004530477759472817
P(lodge | briony) 0.04951033732317736
P(, | lodge) 0.022306855277475515
P(serpentine | ,) 0.0016799022602321321
P(avenue | serpentine) 0.006152125279642058
P(, | avenue) 0.006186726659167604
P(st | ,) 0.0016799022602321321
P(. | st) 0.02293064876957494
P(john | .) 0.0033029254482541686
P(s | john) 0.006186726659167604
P(wood | s) 0.005735140771637122
P(. | wood) 0.006257110352673493
P(took | holmes) 0.005293551491819057
P(note | a) 0.0030153508771929827
P(of | note) 0.006017505470459519
P(one | .) 0.001730103806228374
P(other | one) 0.0055055055055055055
P(question | other) 0.005888650963597431
P(, | question) 0.006186726659167604
P(was | .) 0.001730103806228374
P(a | photograph) 0.005952380952380953
P(cabinet | a) 0.0030153508771929827
P(? | cabinet) 0.006221719457013575
P(. | was) 0.003973988439306358
P(good | ,) 0.0016799022602321321
P(night | good) 0.011363636363636364
P(trust | i) 0.0028735632183908046
P(that | trust) 0.006186726659167604
P(we | that) 0.004266873545384018
P(shall | we) 0.0056179775280898875
P(soon | shall) 0.006084070796460177
P(have | soon) 0.006221719457013575
P(good | some) 0.005857294994675187
P(news | good) 0.005952380952380953
P(for | news) 0.006257110352673493
P(you | for) 0.005218216318785579
P(good | and) 0.00286607608129234
P(added | he) 0.00407709414381023
P(, | added) 0.006257110352673493
P(of | wheels) 0.006186726659167604
P(brougham | royal) 0.006221719457013575
P(rolled | brougham) 0.006221719457013575
P(down | rolled) 0.006257110352673493
P(street | the) 0.01492262343404569
P(you | if) 0.0212655601659751
P(call | to) 0.0029745808545159546
P(to | call) 0.006152125279642058
P(morrow | to) 0.0029745808545159546
P(afternoon | morrow) 0.006257110352673493
P(at | afternoon) 0.006257110352673493
P(three | at) 0.009341637010676156
P(o | three) 0.011487964989059081
P(i | clock) 0.006117908787541713
P(like | should) 0.005888650963597431
P(chat | to) 0.0029745808545159546
P(this | chat) 0.006257110352673493
P(little | this) 0.005450941526263627
P(matter | little) 0.005857294994675187
P(over | matter) 0.005952380952380953
P(with | over) 0.00605060506050605
P(. | ii) 0.006257110352673493
P(precisely | clock) 0.006117908787541713
P(i | precisely) 0.006152125279642058
P(baker | at) 0.004893238434163701
P(had | holmes) 0.01010587102983638
P(returned | yet) 0.005984766050054407
P(. | returned) 0.006152125279642058
P(landlady | the) 0.0020265291083271927
P(informed | landlady) 0.006221719457013575
P(me | informed) 0.006257110352673493
P(left | had) 0.004981884057971015
P(the | left) 0.01167964404894327
P(house | the) 0.011238025055268976
P(after | shortly) 0.006257110352673493
P(eight | after) 0.011811023622047244
P(in | clock) 0.006117908787541713
P(morning | the) 0.0020265291083271927
P(. | morning) 0.006186726659167604
P(sat | i) 0.0028735632183908046
P(down | sat) 0.006221719457013575
P(beside | down) 0.005675954592363261
P(the | beside) 0.006257110352673493
P(, | fire) 0.016958424507658644
P(intention | the) 0.0020265291083271927
P(of | intention) 0.006221719457013575
P(awaiting | of) 0.0028735632183908046
P(him | awaiting) 0.006257110352673493
P(long | however) 0.006117908787541713
P(he | long) 0.006117908787541713
P(might | he) 0.00407709414381023
P(be | might) 0.01155115511551155
P(. | be) 0.004959422903516682
P(already | was) 0.007586705202312138
P(deeply | already) 0.006117908787541713
P(interested | deeply) 0.006221719457013575
P(inquiry | his) 0.004047093451066961
P(, | inquiry) 0.006221719457013575
P(, | for) 0.005218216318785579
P(it | though) 0.006221719457013575
P(by | surrounded) 0.006257110352673493
P(none | by) 0.005533199195171026
P(of | none) 0.006084070796460177
P(grim | the) 0.0020265291083271927
P(and | grim) 0.006257110352673493
P(strange | and) 0.00286607608129234
P(features | strange) 0.006186726659167604
P(which | features) 0.006257110352673493
P(with | associated) 0.006221719457013575
P(two | the) 0.0057111274871039066
P(crimes | two) 0.005920344456404736
P(which | crimes) 0.006257110352673493
P(already | have) 0.014103730664240218
P(recorded | already) 0.006117908787541713
P(, | recorded) 0.006257110352673493
P(still | ,) 0.0016799022602321321
P(nature | the) 0.0038688282977155496
P(of | nature) 0.01174496644295302
P(exalted | the) 0.0020265291083271927
P(station | exalted) 0.006257110352673493
P(of | station) 0.006221719457013575
P(client | his) 0.00772626931567329
P(gave | client) 0.006117908787541713
P(it | gave) 0.006186726659167604
P(a | it) 0.007099391480730223
P(of | character) 0.01733780760626398
P(its | of) 0.0054858934169279
P(own | its) 0.006117908787541713
P(indeed | .) 0.001730103806228374
P(apart | ,) 0.0016799022602321321
P(from | apart) 0.006257110352673493
P(which | investigation) 0.006257110352673493
P(my | which) 0.005027422303473492
P(had | friend) 0.00605060506050605
P(on | had) 0.004981884057971015
P(hand | on) 0.005561172901921133
P(something | was) 0.003973988439306358
P(in | something) 0.006257110352673493
P(grasp | masterly) 0.006257110352673493
P(of | grasp) 0.006257110352673493
P(situation | a) 0.0030153508771929827
P(, | situation) 0.006221719457013575
P(keen | his) 0.004047093451066961
P(, | keen) 0.006186726659167604
P(incisive | ,) 0.0016799022602321321
P(reasoning | incisive) 0.006221719457013575
P(, | reasoning) 0.006186726659167604
P(it | made) 0.00605060506050605
P(pleasure | a) 0.0030153508771929827
P(to | pleasure) 0.006257110352673493
P(study | to) 0.0029745808545159546
P(his | study) 0.006186726659167604
P(system | his) 0.004047093451066961
P(work | of) 0.0054858934169279
P(, | work) 0.006117908787541713
P(the | follow) 0.006152125279642058
P(, | quick) 0.006257110352673493
P(subtle | ,) 0.0016799022602321321
P(methods | subtle) 0.006257110352673493
P(by | methods) 0.006257110352673493
P(disentangled | he) 0.00407709414381023
P(the | disentangled) 0.006257110352673493
P(inextricable | most) 0.005952380952380953
P(. | mysteries) 0.006221719457013575
P(so | .) 0.0033029254482541686
P(accustomed | so) 0.005675954592363261
P(was | accustomed) 0.006186726659167604
P(i | was) 0.007586705202312138
P(to | i) 0.0028735632183908046
P(invariable | his) 0.004047093451066961
P(success | invariable) 0.006257110352673493
P(that | success) 0.006257110352673493
P(of | possibility) 0.006221719457013575
P(failing | his) 0.004047093451066961
P(had | failing) 0.006257110352673493
P(ceased | had) 0.004981884057971015
P(to | ceased) 0.006257110352673493
P(enter | to) 0.0029745808545159546
P(into | enter) 0.006257110352673493
P(head | my) 0.00462573591253154
P(. | head) 0.006221719457013575
P(close | was) 0.003973988439306358
P(upon | close) 0.006221719457013575
P(four | upon) 0.005589430894308943
P(before | four) 0.006221719457013575
P(opened | door) 0.005952380952380953
P(, | opened) 0.006221719457013575
P(drunken | a) 0.0030153508771929827
P(looking | drunken) 0.006257110352673493
P(, | groom) 0.006221719457013575
P(ill | ,) 0.0016799022602321321
P(kempt | ill) 0.006221719457013575
P(and | kempt) 0.006257110352673493
P(side | and) 0.00286607608129234
P(whiskered | side) 0.006084070796460177
P(, | whiskered) 0.006257110352673493
P(an | with) 0.004745470232959448
P(inflamed | an) 0.005646817248459959
P(face | inflamed) 0.006257110352673493
P(clothes | disreputable) 0.006257110352673493
P(, | clothes) 0.006221719457013575
P(walked | ,) 0.0016799022602321321
P(into | walked) 0.006186726659167604
P(accustomed | .) 0.001730103806228374
P(as | accustomed) 0.006186726659167604
P(s | friend) 0.01155115511551155
P(amazing | s) 0.005735140771637122
P(powers | amazing) 0.006257110352673493
P(in | powers) 0.006186726659167604
P(use | the) 0.0020265291083271927
P(of | use) 0.006221719457013575
P(disguises | of) 0.0028735632183908046
P(, | disguises) 0.006257110352673493
P(to | had) 0.009510869565217392
P(three | look) 0.00605060506050605
P(before | times) 0.006152125279642058
P(certain | was) 0.003973988439306358
P(that | certain) 0.006257110352673493
P(indeed | was) 0.003973988439306358
P(he | indeed) 0.005984766050054407
P(nod | a) 0.0030153508771929827
P(he | nod) 0.006257110352673493
P(into | vanished) 0.006257110352673493
P(bedroom | the) 0.0020265291083271927
P(, | bedroom) 0.006221719457013575
P(whence | ,) 0.0016799022602321321
P(he | whence) 0.006257110352673493
P(emerged | he) 0.007783543365455893
P(in | emerged) 0.006221719457013575
P(five | in) 0.0036208031599736673
P(minutes | five) 0.016958424507658644
P(suited | tweed) 0.006257110352673493
P(and | suited) 0.006257110352673493
P(respectable | and) 0.00286607608129234
P(, | respectable) 0.006257110352673493
P(of | as) 0.004893238434163701
P(old | of) 0.0028735632183908046
P(. | old) 0.006221719457013575
P(putting | .) 0.001730103806228374
P(his | putting) 0.006221719457013575
P(into | hands) 0.006152125279642058
P(, | pockets) 0.006257110352673493
P(stretched | he) 0.00407709414381023
P(out | stretched) 0.006257110352673493
P(his | out) 0.005589430894308943
P(legs | his) 0.004047093451066961
P(in | legs) 0.006257110352673493
P(front | in) 0.02337063857801185
P(of | front) 0.02805280528052805
P(and | fire) 0.006017505470459519
P(laughed | and) 0.0054715997915581035
P(for | heartily) 0.006221719457013575
P(some | for) 0.009962049335863378
P(minutes | some) 0.005857294994675187
P(. | minutes) 0.021831735889243874
P(really | ,) 0.0016799022602321321
P(! | really) 0.006257110352673493
P(he | !) 0.005561172901921133
P(, | cried) 0.01167964404894327
P(then | and) 0.0054715997915581035
P(choked | he) 0.00407709414381023
P(and | choked) 0.006257110352673493
P(again | laughed) 0.006186726659167604
P(until | again) 0.006117908787541713
P(he | until) 0.006186726659167604
P(obliged | was) 0.003973988439306358
P(to | obliged) 0.006257110352673493
P(lie | to) 0.0029745808545159546
P(back | lie) 0.006221719457013575
P(, | back) 0.01155115511551155
P(limp | ,) 0.0016799022602321321
P(and | limp) 0.006257110352673493
P(helpless | and) 0.00286607608129234
P(, | helpless) 0.006257110352673493
P(chair | the) 0.0020265291083271927
P(it | is) 0.008649093904448105
P(s | it) 0.0037187288708586883
P(quite | s) 0.005735140771637122
P(too | quite) 0.011425462459194777
P(funny | too) 0.00605060506050605
P(. | funny) 0.006257110352673493
P(you | sure) 0.006152125279642058
P(could | you) 0.003973988439306358
P(never | could) 0.005646817248459959
P(guess | never) 0.006117908787541713
P(how | guess) 0.006257110352673493
P(i | how) 0.005765199161425576
P(employed | i) 0.0028735632183908046
P(morning | my) 0.00462573591253154
P(, | morning) 0.006186726659167604
P(what | or) 0.005646817248459959
P(i | what) 0.010670731707317072
P(ended | i) 0.0028735632183908046
P(by | ended) 0.006257110352673493
P(doing | by) 0.005533199195171026
P(. | doing) 0.006221719457013575
P(. | imagine) 0.006186726659167604
P(suppose | i) 0.0028735632183908046
P(that | suppose) 0.006257110352673493
P(watching | been) 0.005589430894308943
P(the | watching) 0.006257110352673493
P(habits | the) 0.0020265291083271927
P(, | habits) 0.006257110352673493
P(the | perhaps) 0.006221719457013575
P(, | house) 0.011241970021413276
P(miss | of) 0.0028735632183908046
P(irene | miss) 0.01174496644295302
P(; | so) 0.005675954592363261
P(sequel | the) 0.0020265291083271927
P(was | sequel) 0.006257110352673493
P(rather | was) 0.003973988439306358
P(unusual | rather) 0.006117908787541713
P(. | unusual) 0.006257110352673493
P(will | i) 0.018547544409613374
P(tell | will) 0.005450941526263627
P(. | however) 0.006117908787541713
P(left | i) 0.0028735632183908046
P(a | house) 0.005888650963597431
P(after | little) 0.005857294994675187
P(this | clock) 0.006117908787541713
P(morning | this) 0.005450941526263627
P(in | morning) 0.006186726659167604
P(groom | a) 0.0030153508771929827
P(out | groom) 0.006221719457013575
P(. | work) 0.006117908787541713
P(wonderful | a) 0.0030153508771929827
P(sympathy | wonderful) 0.006257110352673493
P(and | sympathy) 0.006257110352673493
P(among | freemasonry) 0.006257110352673493
P(horsey | among) 0.006221719457013575
P(men | horsey) 0.006257110352673493
P(one | be) 0.004959422903516682
P(them | of) 0.0028735632183908046
P(, | them) 0.01155115511551155
P(you | and) 0.00286607608129234
P(know | will) 0.005450941526263627
P(all | know) 0.005795574288724974
P(to | is) 0.012767710049423394
P(soon | i) 0.0028735632183908046
P(found | soon) 0.006221719457013575
P(briony | found) 0.00605060506050605
P(. | lodge) 0.011425462459194777
P(_bijou_ | a) 0.0030153508771929827
P(, | villa) 0.006257110352673493
P(garden | a) 0.0030153508771929827
P(at | garden) 0.006221719457013575
P(back | the) 0.0020265291083271927
P(built | but) 0.005050505050505051
P(out | built) 0.006257110352673493
P(right | front) 0.00605060506050605
P(up | right) 0.006084070796460177
P(road | the) 0.0020265291083271927
P(, | road) 0.006186726659167604
P(two | ,) 0.0047342700061087355
P(stories | two) 0.005920344456404736
P(. | stories) 0.006257110352673493
P(chubb | .) 0.001730103806228374
P(lock | chubb) 0.006257110352673493
P(to | lock) 0.006257110352673493
P(large | .) 0.001730103806228374
P(sitting | large) 0.006152125279642058
P(room | sitting) 0.022803114571746382
P(on | room) 0.005888650963597431
P(, | side) 0.006084070796460177
P(well | ,) 0.003207086133170434
P(furnished | well) 0.005952380952380953
P(, | furnished) 0.006257110352673493
P(long | with) 0.004745470232959448
P(windows | long) 0.006117908787541713
P(almost | windows) 0.006221719457013575
P(to | almost) 0.006186726659167604
P(floor | the) 0.0020265291083271927
P(, | floor) 0.006257110352673493
P(those | and) 0.00286607608129234
P(preposterous | those) 0.006152125279642058
P(english | preposterous) 0.006221719457013575
P(window | english) 0.006221719457013575
P(fasteners | window) 0.005984766050054407
P(which | fasteners) 0.006257110352673493
P(a | which) 0.005027422303473492
P(child | a) 0.0030153508771929827
P(could | child) 0.006257110352673493
P(. | open) 0.01155115511551155
P(behind | .) 0.001730103806228374
P(there | behind) 0.006186726659167604
P(nothing | was) 0.003973988439306358
P(remarkable | nothing) 0.006017505470459519
P(, | remarkable) 0.006221719457013575
P(that | save) 0.006186726659167604
P(passage | the) 0.0020265291083271927
P(window | passage) 0.006221719457013575
P(be | could) 0.005646817248459959
P(reached | be) 0.004959422903516682
P(from | reached) 0.006221719457013575
P(top | the) 0.0038688282977155496
P(of | top) 0.006186726659167604
P(coach | the) 0.0020265291083271927
P(house | coach) 0.006257110352673493
P(walked | i) 0.0028735632183908046
P(round | walked) 0.006186726659167604
P(it | round) 0.006152125279642058
P(and | it) 0.0037187288708586883
P(it | examined) 0.006221719457013575
P(closely | it) 0.0037187288708586883
P(from | closely) 0.006221719457013575
P(every | from) 0.005218216318785579
P(point | every) 0.006084070796460177
P(of | point) 0.006152125279642058
P(view | of) 0.0028735632183908046
P(, | view) 0.006257110352673493
P(without | but) 0.005050505050505051
P(noting | without) 0.00605060506050605
P(else | anything) 0.006221719457013575
P(of | else) 0.006186726659167604
P(interest | of) 0.0028735632183908046
P(. | interest) 0.006257110352673493
P(then | i) 0.0028735632183908046
P(lounged | then) 0.005397448478900883
P(down | lounged) 0.006221719457013575
P(and | street) 0.005795574288724974
P(found | and) 0.00286607608129234
P(, | found) 0.00605060506050605
P(expected | i) 0.0054858934169279
P(, | expected) 0.006221719457013575
P(mews | a) 0.0030153508771929827
P(in | mews) 0.006186726659167604
P(lane | a) 0.0030153508771929827
P(which | lane) 0.006221719457013575
P(runs | which) 0.005027422303473492
P(down | runs) 0.006257110352673493
P(by | down) 0.005675954592363261
P(one | by) 0.005533199195171026
P(wall | one) 0.0055055055055055055
P(of | wall) 0.006257110352673493
P(garden | the) 0.0020265291083271927
P(. | garden) 0.006221719457013575
P(lent | i) 0.0028735632183908046
P(ostlers | the) 0.0020265291083271927
P(a | ostlers) 0.006221719457013575
P(hand | a) 0.0030153508771929827
P(in | hand) 0.006017505470459519
P(rubbing | in) 0.0036208031599736673
P(down | rubbing) 0.006257110352673493
P(their | down) 0.005675954592363261
P(horses | their) 0.005984766050054407
P(, | horses) 0.006186726659167604
P(received | and) 0.00286607608129234
P(in | received) 0.006186726659167604
P(twopence | exchange) 0.006257110352673493
P(, | twopence) 0.006257110352673493
P(glass | a) 0.005756578947368421
P(of | glass) 0.011811023622047244
P(half | of) 0.0054858934169279
P(and | half) 0.005920344456404736
P(half | and) 0.008077123501823866
P(, | half) 0.005920344456404736
P(fills | two) 0.005920344456404736
P(of | fills) 0.006257110352673493
P(shag | of) 0.0028735632183908046
P(tobacco | shag) 0.006257110352673493
P(, | tobacco) 0.006257110352673493
P(as | and) 0.00286607608129234
P(much | as) 0.009341637010676156
P(information | much) 0.00605060506050605
P(as | information) 0.006221719457013575
P(desire | could) 0.005646817248459959
P(about | desire) 0.006221719457013575
P(miss | about) 0.006017505470459519
P(adler | miss) 0.006152125279642058
P(of | nothing) 0.006017505470459519
P(dozen | a) 0.005756578947368421
P(other | dozen) 0.006221719457013575
P(people | other) 0.005888650963597431
P(in | people) 0.006186726659167604
P(neighbourhood | the) 0.0020265291083271927
P(in | neighbourhood) 0.006221719457013575
P(whom | in) 0.0036208031599736673
P(in | not) 0.014039855072463768
P(least | the) 0.0038688282977155496
P(interested | least) 0.006221719457013575
P(, | interested) 0.006152125279642058
P(whose | but) 0.005050505050505051
P(biographies | whose) 0.006257110352673493
P(i | biographies) 0.006257110352673493
P(compelled | was) 0.003973988439306358
P(to | compelled) 0.006257110352673493
P(to | listen) 0.006257110352673493
P(. | to) 0.005678745267712277
P(of | what) 0.005589430894308943
P(irene | of) 0.0054858934169279
P(asked | i) 0.0054858934169279
P(turned | has) 0.00570539419087137
P(all | turned) 0.006186726659167604
P(men | the) 0.0020265291083271927
P(heads | s) 0.005735140771637122
P(down | heads) 0.006257110352673493
P(part | that) 0.004266873545384018
P(. | part) 0.011425462459194777
P(thing | daintiest) 0.006257110352673493
P(under | thing) 0.006221719457013575
P(a | under) 0.00605060506050605
P(bonnet | a) 0.0030153508771929827
P(on | bonnet) 0.006257110352673493
P(this | on) 0.005561172901921133
P(planet | this) 0.005450941526263627
P(. | planet) 0.006257110352673493
P(say | so) 0.005675954592363261
P(the | say) 0.006117908787541713
P(mews | serpentine) 0.01174496644295302
P(, | mews) 0.011811023622047244
P(. | man) 0.031154239019407556
P(lives | she) 0.005004549590536852
P(quietly | lives) 0.006257110352673493
P(, | quietly) 0.006257110352673493
P(sings | ,) 0.0016799022602321321
P(at | sings) 0.006221719457013575
P(concerts | at) 0.004893238434163701
P(, | concerts) 0.006257110352673493
P(drives | ,) 0.0016799022602321321
P(at | out) 0.015752032520325202
P(five | at) 0.009341637010676156
P(every | five) 0.006017505470459519
P(day | every) 0.006084070796460177
P(, | day) 0.011811023622047244
P(returns | and) 0.00286607608129234
P(at | returns) 0.006221719457013575
P(seven | at) 0.004893238434163701
P(sharp | seven) 0.006117908787541713
P(for | sharp) 0.006186726659167604
P(dinner | for) 0.005218216318785579
P(. | dinner) 0.006257110352673493
P(seldom | .) 0.001730103806228374
P(out | goes) 0.006257110352673493
P(other | at) 0.004893238434163701
P(times | other) 0.005888650963597431
P(, | times) 0.006152125279642058
P(except | ,) 0.0016799022602321321
P(when | except) 0.006257110352673493
P(sings | she) 0.005004549590536852
P(. | sings) 0.006221719457013575
P(has | .) 0.001730103806228374
P(only | has) 0.00570539419087137
P(one | only) 0.01155115511551155
P(male | one) 0.0055055055055055055
P(good | a) 0.005756578947368421
P(deal | good) 0.005952380952380953
P(of | deal) 0.006257110352673493
P(him | of) 0.0028735632183908046
P(is | he) 0.011489992587101556
P(dark | is) 0.004530477759472817
P(, | dark) 0.01167964404894327
P(handsome | ,) 0.0016799022602321321
P(, | handsome) 0.006221719457013575
P(dashing | and) 0.00286607608129234
P(, | dashing) 0.006257110352673493
P(calls | never) 0.006117908787541713
P(less | calls) 0.006257110352673493
P(once | than) 0.006017505470459519
P(a | once) 0.00605060506050605
P(day | a) 0.0030153508771929827
P(often | and) 0.00286607608129234
P(twice | often) 0.006221719457013575
P(. | twice) 0.006084070796460177
P(mr | a) 0.0030153508771929827
P(. | mr) 0.017435320584926882
P(godfrey | .) 0.0033029254482541686
P(, | norton) 0.017241379310344827
P(inner | the) 0.0020265291083271927
P(temple | inner) 0.006257110352673493
P(. | temple) 0.011811023622047244
P(see | .) 0.001730103806228374
P(the | see) 0.005888650963597431
P(advantages | the) 0.0020265291083271927
P(of | advantages) 0.006257110352673493
P(cabman | a) 0.0030153508771929827
P(as | cabman) 0.006221719457013575
P(. | confidant) 0.006257110352673493
P(had | they) 0.011182108626198083
P(driven | had) 0.004981884057971015
P(him | driven) 0.006257110352673493
P(home | him) 0.005646817248459959
P(a | home) 0.006152125279642058
P(times | dozen) 0.006221719457013575
P(from | times) 0.006152125279642058
P(serpentine | from) 0.005218216318785579
P(knew | and) 0.00286607608129234
P(all | knew) 0.006117908787541713
P(about | all) 0.0056179775280898875
P(him | about) 0.006017505470459519
P(listened | had) 0.004981884057971015
P(to | listened) 0.006257110352673493
P(all | to) 0.0029745808545159546
P(they | all) 0.0056179775280898875
P(tell | to) 0.0029745808545159546
P(, | tell) 0.006084070796460177
P(to | began) 0.006257110352673493
P(walk | to) 0.0029745808545159546
P(up | walk) 0.006186726659167604
P(near | down) 0.005675954592363261
P(briony | near) 0.006221719457013575
P(once | lodge) 0.005984766050054407
P(think | to) 0.0083829096809086
P(my | over) 0.00605060506050605
P(plan | my) 0.00462573591253154
P(of | plan) 0.006257110352673493
P(campaign | of) 0.0028735632183908046
P(. | campaign) 0.006257110352673493
P(godfrey | this) 0.005450941526263627
P(norton | godfrey) 0.022803114571746382
P(was | norton) 0.006117908787541713
P(evidently | was) 0.003973988439306358
P(an | evidently) 0.006221719457013575
